"query_set","reference_set","query_n_in_universe","reference_n_in_universe","overlap_n","universe_n","overlap_fraction_query","fisher_odds_ratio","fisher_p","overlap_genes","query_note","reference_note","fdr","minus_log10_fdr"
"Rat_DTL_associated_injured_tubular_anchor_panel","Conservative_maladaptive_tubular_injury_core",8,11,8,25399,1,Inf,3.84547806866263e-29,"CLU;HAVCR1;KRT18;KRT8;LCN2;SOX9;SPP1;VCAM1","Pre-specified GSE233078 DTL-annotation audit injured-tubular markers plus Spp1 anchor; used as state-conservation check.","Conservative cross-study tubular injury/maladaptive marker panel assembled from commonly used failed-repair/injured PT markers; partly overlaps by design with the annotation audit and should be treated as a sanity check rather than independent validation.",4.61457368239515e-28,27.3358684151008
"Rat_DTL_associated_injured_tubular_anchor_panel","Human_inflammatory_PT_NatCommun2025",8,11,3,25399,0.375,1929.44917725869,3.37996000961303e-09,"HAVCR1;SPP1;VCAM1","Pre-specified GSE233078 DTL-annotation audit injured-tubular markers plus Spp1 anchor; used as state-conservation check.","Human kidney disease inflammatory PT markers reported for HAVCR1+/VCAM1+ PT cells localized to fibrotic niches.",2.02797600576782e-08,7.69293718771359
"Rat_SPP1_CD44_composite_program","Conservative_maladaptive_tubular_injury_core",42,11,2,25399,0.0476190476190476,140.677872700447,0.000145437086109686,"CLU;SPP1","Composite rat tubular-immune Spp1/Cd44 program; included for transparency but not used as the primary tubular-state overlap claim.","Conservative cross-study tubular injury/maladaptive marker panel assembled from commonly used failed-repair/injured PT markers; partly overlaps by design with the annotation audit and should be treated as a sanity check rather than independent validation.",0.000581748344438746,3.235264843971
"Rat_DTL_associated_injured_tubular_anchor_panel","Kirita_FR_PTC_core",8,4,1,25399,0.125,1169.6428461591,0.00125937134120901,"VCAM1","Pre-specified GSE233078 DTL-annotation audit injured-tubular markers plus Spp1 anchor; used as state-conservation check.","Failed-repair proximal tubule core markers reported in the AKI repair literature; compact panel for specificity testing.",0.00377811402362704,2.42272493919217
"Rat_DTL_obese_up_enalapril_down_signature","Conservative_maladaptive_tubular_injury_core",30,11,1,25399,0.0333333333333333,87.0023130809813,0.0129187059121838,"CLU","Rat DTL-annotated obese-up/enalapril-down disease-reversal signature from the existing manuscript analysis.","Conservative cross-study tubular injury/maladaptive marker panel assembled from commonly used failed-repair/injured PT markers; partly overlaps by design with the annotation audit and should be treated as a sanity check rather than independent validation.",0.0310048941892411,1.50856974643627
"Rat_SPP1_CD44_composite_program","Human_inflammatory_PT_NatCommun2025",42,11,1,25399,0.0238095238095238,61.6945021484066,0.0180435659584491,"SPP1","Composite rat tubular-immune Spp1/Cd44 program; included for transparency but not used as the primary tubular-state overlap claim.","Human kidney disease inflammatory PT markers reported for HAVCR1+/VCAM1+ PT cells localized to fibrotic niches.",0.0360871319168983,1.44264763282443
"Rat_DTL_candidate_marker_panel","Kirita_FR_PTC_core",5,4,0,25399,0,0,1,"","Pre-specified DTL candidate markers from the GSE233078 annotation audit; included as a negative/specificity contrast.","Failed-repair proximal tubule core markers reported in the AKI repair literature; compact panel for specificity testing.",1,0
"Rat_DTL_candidate_marker_panel","Human_inflammatory_PT_NatCommun2025",5,11,0,25399,0,0,1,"","Pre-specified DTL candidate markers from the GSE233078 annotation audit; included as a negative/specificity contrast.","Human kidney disease inflammatory PT markers reported for HAVCR1+/VCAM1+ PT cells localized to fibrotic niches.",1,0
"Rat_DTL_candidate_marker_panel","Conservative_maladaptive_tubular_injury_core",5,11,0,25399,0,0,1,"","Pre-specified DTL candidate markers from the GSE233078 annotation audit; included as a negative/specificity contrast.","Conservative cross-study tubular injury/maladaptive marker panel assembled from commonly used failed-repair/injured PT markers; partly overlaps by design with the annotation audit and should be treated as a sanity check rather than independent validation.",1,0
"Rat_DTL_obese_up_enalapril_down_signature","Kirita_FR_PTC_core",30,4,0,25399,0,0,1,"","Rat DTL-annotated obese-up/enalapril-down disease-reversal signature from the existing manuscript analysis.","Failed-repair proximal tubule core markers reported in the AKI repair literature; compact panel for specificity testing.",1,0
"Rat_DTL_obese_up_enalapril_down_signature","Human_inflammatory_PT_NatCommun2025",30,11,0,25399,0,0,1,"","Rat DTL-annotated obese-up/enalapril-down disease-reversal signature from the existing manuscript analysis.","Human kidney disease inflammatory PT markers reported for HAVCR1+/VCAM1+ PT cells localized to fibrotic niches.",1,0
"Rat_SPP1_CD44_composite_program","Kirita_FR_PTC_core",42,4,0,25399,0,0,1,"","Composite rat tubular-immune Spp1/Cd44 program; included for transparency but not used as the primary tubular-state overlap claim.","Failed-repair proximal tubule core markers reported in the AKI repair literature; compact panel for specificity testing.",1,0
